Rating_Number,Votes_Number,Computer_Score,Group_Rank,Group_Rank_Size,Total_Rank,Total_Rank_Size,PPI,HDMI,WiFi,Inbuilt Microphone,Bluetooth,SSD Interface,Keyboard,Microphone In,Speakers,Keyboard Backlit,Anti Glare Screen,GPU,Model,Series,Size,Warranty,Device Type,Touch,Processor,Resolution,OS,Battery,Features,Generation,RAM,Optical Drive,Adapter Type,Solid State Drive,Cache,Battery Details,Dimensions,Touchpad,Headphone Jack,Camera,Speed,RAM Bus Speed,Cores,Sales Package,Weight,Security Lock Port,Brand,Utility,USB Ports,Process Node,Ethernet,Type,Price
4.35,115,2,2,481,278,2352,~ 137PPI,1 x HDMI 2.1 Port,Intel Wi-Fi 6 AX201 (2x2),Dual Array Digital Microphones,v5.2,NVMe PCIe Gen4,"Full-Size, Mica Silver Keyboard with Numeric Keypad",Yes,Dual Speakers,Yes,Yes,NVIDIA GeForce GTX 1650,16-d0333TX,Victus,16.1inches,1year Warranty,Netbook,No,11th Gen Intel Core i5 11400H,1920x1080pixels,Windows 11 Home (64-bit),"70Wh, 4 Cell Battery","250nits Brightness, Micro-Edge, 45% NTSC",11th Gen,16GB DDR4,No,150 W Smart AC Power Adapter,512GB,12MB,"280 g Battery Weight, EPEAT Registered",370x262x23.5mm,HP Imagepad with multi-touch Gesture Support; Precision Touchpad Support,Yes,HP Wide Vision 720p HD camera,6 x 2.2GHz (Turbo Speed upto 4.5GHz) Cores,2933MHz,"Hexa Core, 12 Threads",No,2.46kg,No,Intel,Gaming,"1 x USB Type-C, 3 x USB Type-A, 3 x USB 3.0",No,Integrated 10/100/1000 GbE LAN,IPS,"58,990"
4.05,64,2,3,178,1187,2352,~ 157PPI,1 x HDMI Port,Wi-Fi 6(802.11ax),Yes,v5,NVMe PCIe Gen3,Keyboard with touchpad with multi gesture and scrolling function,Yes,Two built-in speakers,No,Yes,Intel Iris Xe Graphics,Z8-415,One 14,14inches,1year Onsite Warranty,Ultrabook,No,11th Gen Intel Core i3 1115G4,1920x1080pixels,Windows 11 Home (64-bit),45.5Wh Battery,No,11th Gen,8GB DDR4,No,AC 45- Watt power adapter,512GB,6MB,\u200e45.5 Watt Hours,323x221x21.6mm,Yes,Yes,HD webcam 720p Support,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,No,"Dual Core, 4 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.5kg,Yes,Intel,Everyday Use,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",10 nm SuperFin,Yes,IPS,"31,990"
4.55,68,2,116,332,735,2352,~ 141PPI,1 x HDMI 2.1 Port,IEEE 802.11a/b/g/n/ac/ax,Built-in Dual Array Digital Microphones,v5.3,NVMe,"Full-size, backlit, Natural Silver keyboard with numeric keypad, Yes",Yes,Built-in Dual Speakers,Yes,Yes,Intel Integrated Integrated,15-eg3081TU,Core i5,15.6inches,1year Onsite Warranty,Ultrabook,No,13th Gen Intel Core i5 1340P,1920x1080pixels,Windows 11 Home (64-bit),"41Wh, 3 Cell Battery","micro-edge, Low Blue Light, Brightness: 300 nits, Color Gamut: 100% sRGB",13th Gen,16GB DDR4,No,65 W Smart AC power adapter,512GB,12MB,41 Wh Li-ion Battery,360x234x17.9mm,Yes,Yes,Yes,4 x 1.9GHz (Turbo Speed upto 4.6GHz) Performance Cores  8 x 1.4GHz (Turbo Speed upto 3.4GHz) Efficient Cores,3200MHz,"12 Cores (4P + 8E), 16 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.75kg,Yes,Intel,Performance,"1 x USB Type-C, 2 x USB 3.0",10 nm SuperFin,No,IPS,"76,990"
4.45,74,3,55,345,1459,2352,~ 157PPI,1 x HDMI 1.4 Port,Yes,Built In Dual Digital Array Microphone,v5.1,NVMe PCIe Gen3,Yes,Yes,Built In Dual Speakers,Yes,No,Intel Integrated Iris Xe,1155G7,X2 Slim Series,14inches,1year Onsite Warranty,Ultrabook,No,11th Gen Intel Core i5 1155G7,1920x1080pixels,Windows 11 Home (64-bit),50Wh Battery,"Peak Brightness: 300nits, 100% sRGB, NTSC 72%",11th Gen,16GB LPDDR4X,No,65W Type-C,512GB,8MB,No,323.3x211.1x14.8mm,Yes,Yes,Yes,4 x 2.5GHz (Turbo Speed upto 4.5GHz) Cores,No,"Quad Core, 8 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.24kg,Yes,Intel,"Everyday Use, Performance","2 x USB Type-C, 2 x USB 3.0",10nm SuperFin,No,IPS,"38,990"
4.6,59,2,58,332,517,2352,~ 141PPI,1 x HDMI v1.4 Port,Intel Wi-Fi 6 AX201 (2x2),Yes,v5.2,NVMe,Standard Keyboard,Yes,"2.5 W x 2, Stereo speaker",Yes,Yes,Intel Iris Xe Graphics,1340P,Inspiron 5630,16inches,1year Onsite Warranty,Hybrid,No,13th Gen Intel Core i5 1340P,2560x1600pixels,Windows 11 Home (64-bit),"54Wh, 4 Cell Battery",300nits WVA Display w/ ComfortView Plus Support,13th Gen,16GB LPDDR5,No,65 Watt AC Adapter,512GB,12MB,Li-ion,356.78x251.7x18.2mm,Yes,Yes,HD Camera,4 x 1.9GHz (Turbo Speed upto 4.6GHz) Performance Cores  8 x 1.4GHz (Turbo Speed upto 3.4GHz) Efficient Cores,4800MHz,"12 Cores (4P + 8E), 16 Threads","Laptop, Adaptor",1.85kg,No,Intel,"Everyday Use, Business, Performance","1 x USB Type-C, 2 x USB Type-A, 2 x USB 3.0",10 nm SuperFin,No,LED,"75,763"
4.5,109,2,15,481,497,2352,~ 283PPI,1 x HDMI 1.4 Port,Wi-Fi 6(802.11ax) Dual band) 2*2,YES,v5.1,No,"Chiclet Keyboard, 1.4mm Key-travel",Yes,YES,Yes,Yes,AMD Radeon Vega 7,M1603QA-MB711WS,Vivobook 16X,16inches,1year Onsite Warranty,Netbook,No,5th Gen AMD Ryzen 7  5800H,1920x1200pixels,Windows 11 Home (64-bit),No,"300nits, NTSC: 45% for non-OLED, display, Screen-to-body ratio: 86",5th Gen,16GB DDR4,No,No,512GB,16MB,No,358.4x247.7x19.9mm,Yes,Yes,Yes,8 x 3.2GHz (Turbo Speed upto 4.4GHz) Cores,3200MHz,"Octa Core, 16 Threads","Laptop, Adaptor & Manual",1.8kg,No,AMD,"Everyday Use, Business, Performance","1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",No,No,LED Backlit,"58,990"
4.4,413,2,8,260,725,2352,~ 141PPI,1 x HDMI v2.0b Port,Wi-Fi 6 (802.11ax) (Dual band) 2*2,Built-in Array Microphone,v5.2,NVMe PCIe Gen3,Backlit Chiclet Keyboard 1-Zone RGB,Yes,2 x 2W Dual Speakers,Yes,Yes,NVIDIA GeForce GTX 1650,FA506IHRZ-HN111W,TUF Gaming A15,15.6inches,1year Onsite Warranty,Ultrabook,No,4th Gen AMD Ryzen 5 4600H,1920x1080pixels,Windows 11 Hom (64-bit),"48Wh, 3 Cell Battery","144Hz, IPS-level Panel with 45 Percentage NTSC and Adaptive Sync Technology Display, sRGB:62.5%, Adobe:47.1%, Contrast Ratio: 1000:1",4th Gen,8GB DDR4,No,No,512GB,8MB,48WHrs Li-Ion Polymer,359x256x25mm,Multi-Touch Gestures Enabled,Yes,720p HD webcam,6 x 3GHz (Turbo Speed upto 4GHz) Cores,3200MHz,"Hexa Core, 12 Threads",No,2.3kg,Yes,AMD,Gaming,"1 x USB Type-C, 3 x USB Type-A, 4 x USB 3.0",TSMC 7nm FinFET,10/100/1000 Mbps,LED,"49,990"
4,558,2,50,481,653,2352,~ 141PPI,1 x HDMI Port,Intel Wireless Wi-Fi 6E AX211,Built-in Dual Microphone,v5.2,No,"99- 100- 103-key Acer , Yes",Yes,Two Built-in Stereo Speakers,Yes,Yes,NVIDIA GeForce RTX 2050,A515-57G,Aspire 5 Gaming,15.6inches,1year Warranty,Netbook,No,12th Gen Intel Core i5 1240P,1920x1080pixels,Windows 11 Home (64-bit),3 Cell Battery,No,12th Gen,16GB DDR4,No,No,512GB,12MB,No,362.9x237.8x17.9mm,Yes,No,Yes,4 x 1.7GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 1.2GHz (Turbo Speed upto 3.3GHz) Efficient Cores,3200MHz,"12 Cores (4P + 8E), 16 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.8kg,Kensington Lock Slot,Intel,Gaming,"2 x USB Type-C, 2 x USB 3.0",12 nm,Yes,IPS,"58,990"
4.5,181,2,11,453,425,2352,~ 141PPI,1 x HDMI 2.1 Port,AMD 6E RZ608,Yes,v5.2,NVMe,"Single (Red), Yes",Yes,Built-in Dual Stereo Speakers,Yes,Yes,AMD Radeon RX6500M,Bravo 15 B5ED-035IN,Bravo 15,15.6inches,1year Warranty,Netbook,No,5th Gen AMD Ryzen 7 5800H,1920x1080pixels,Windows 11 Home (64-bit),"53.5Wh, 3 Cell Battery",Full HD,5th Gen,16GB DDR4,No,180 W AC Adapter,512GB,16MB,53.5 Whr Battery,359x259x24.95mm,Yes,Yes,Yes,8 x 3.2GHz (Turbo Speed upto 4.4GHz) Cores,3200MHz,"Octa Core, 16 Threads","Laptop, power adapter",2.35kg,No,AMD,Performance,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",No,Gb LAN,IPS-Level,"62,990"
4.35,207,2,9,453,423,2352,~ 141PPI,1 x HDMI 2.1 Port,MediaTek 6E MT7922 (2x2),Built-in Dual Array Digital Microphones,v5.3,NVMe,"Full-size, backlit, performance blue keyboard with numeric keypad, Yes",Yes,Build-in Dual speakers,Yes,Yes,NVIDIA GeForce RTX 3050,15-fb0106AX,Victus,15.6inches,1year Onsite Warranty,Netbook,Yes,5th Gen AMD Ryzen 5 5600H,1920x1080pixels,Windows 11 Home (64-bit),52.5Wh Battery,"micro-edge, 250 nits, 45% NTSC",5th Gen,16GB DDR4,No,No,512GB,16MB,52.5 Wh Li-ion Battery,357.9x239.7x22.5mm,Yes,Yes,Yes,6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,No,"Hexa Core, 12 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",2.37kg,No,AMD,Gaming,"1 x USB Type-C, 2 x USB 3.0",No,Yes,"IPS,","64,990"
